Symbol,Timeframe,Algorithm,Regimes,Silhouette,Davies-Bouldin,Best Algorithm
EURUSD,H1,kmeans,3,0.08916551591464626,3.5197125344995874,True
EURUSD,H1,dbscan,1,-1.0,inf,False
EURUSD,H1,gmm,10,-0.0337695172326234,3.9627101062644146,False
EURUSD,H4,kmeans,7,0.06085467109047879,2.44035388444562,True
EURUSD,H4,dbscan,1,-1.0,inf,False
EURUSD,H4,gmm,10,-0.024833002590969277,3.6518885221292643,False
EURUSD,D1,kmeans,5,0.054148221685320214,2.505392225308493,True
EURUSD,D1,dbscan,1,-1.0,inf,False
EURUSD,D1,gmm,10,0.04140316894981256,2.6289643827595004,False
GBPUSD,H1,kmeans,5,0.38488781267098116,0.8079032817202728,True
GBPUSD,H1,dbscan,1,-1.0,inf,False
GBPUSD,H1,gmm,10,-0.020560693584480937,2.125117051413489,False
GBPUSD,H4,kmeans,5,0.360954223427232,0.7862208233035699,True
GBPUSD,H4,dbscan,1,-1.0,inf,False
GBPUSD,H4,gmm,9,0.06224812589420339,1.971294795383381,False
USDJPY,H1,kmeans,4,0.4968947814611466,0.7602112618240803,True
USDJPY,H1,dbscan,1,-1.0,inf,False
USDJPY,H1,gmm,10,0.17058495279727143,2.141025758820923,False
USDJPY,H4,kmeans,5,0.5081072811126975,0.6126996113233794,True
USDJPY,H4,dbscan,1,-1.0,inf,False
USDJPY,H4,gmm,10,0.3381375840898195,1.0626319277791092,False
